SMILES,dataset,len_smiles,mean_complexity,sa_score,sc_score,tb_depth,tb_plausibility,tb_price,tb_synthesizability
c12c(oc(c1)[C@@H](c1ccccc1)O)ccc(c2)C[C@@H]1C(NC(S1)=O)=O,sheridan,57,2.3157894740000002,3.2183,4.0649,4,0.9833007681929304,68.0,Synthesizable
N12[C@@H](SCC(=C1C(=O)O)CN(c1cc[n+](Cc3ccc(cc3)[N+]([O-])=O)cn1)Cc1cc(c(O)cc1)O)[C@@H](NC(\C(c1nc(N)sc1)=N/OCC)=O)C2=O,sheridan,118,4.19047619,4.5243,4.9964,11,0.0,-1.0,Unsynthesizable
C1([C@]2([C@@H](C1(C)C)N(CC)C(NC2=O)=O)F)(C)C,sheridan,45,3.609756098,4.1692,2.6924,11,0.0,-1.0,Unsynthesizable
c1([C@@H]2[C@@H]3C[N@@](C2)CC3)nc(ns1)N(C)C,sheridan,43,2.55,4.6331,3.7889,11,0.0,-1.0,Unsynthesizable
N1(C[C@@H](CC)N)CCCCC1,sheridan,22,1.2682926829999999,2.4974,3.0523,2,0.7388492494136898,3.0,Synthesizable
c1(c(ccc(c1)O)O)C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)C)C)C)C,sheridan,56,2.625,2.9619,2.5711,7,0.5234552749895099,9.0,Synthesizable
c12c(C(N(C2)C)=O)cnc(n1)NC(C)C,sheridan,30,1.755102041,2.721,3.7921,6,0.8047909050245345,42.0,Synthesizable
c12c(C(N(C2)C)=O)cnc(n1)N1CCOCC1,sheridan,32,1.9722222219999999,2.5728,3.8732,8,0.8944506098213769,79.0,Synthesizable
c1([C@@H]2CC[C@H](O2)c2cc(c(OC)c(c2)OC)OC)cc(c(OCC=C)c(c1)OC)N=[N+]=[N-],sheridan,72,3.1944444439999997,3.7642,3.1438,11,0.0,-1.0,Unsynthesizable
C1[N@@](OC(c2ccccc2)=O)CCC=C1\C=N\OCC=C,sheridan,39,2.365853659,3.0819,2.7126,8,0.2194197772373515,40.0,Synthesizable
N1(CCC=C(C1)\C=N\OC)C(OCC)=O,sheridan,28,1.6829268290000001,3.008,2.7032,7,0.8416768341175047,62.0,Synthesizable
c1([C@@]2(C[C@@H](c3ccccc3)O[N@@]2C)Cn2ccnc2)cccs1,sheridan,50,2.577777778,3.6513,3.4069,11,0.0,-1.0,Unsynthesizable
c1(cccc(c1)[N+]([O-])=O)[C@@H]1C(=C(NC(=C1C(OCC)=O)C)C)C(OCCC[N@@]1[C@@H](Cc2ccc(Cl)cc2)CCC1)=O,sheridan,95,3.102564103,3.4004,4.0449,5,0.35563510317472946,10.0,Synthesizable
c12c(cc(C=3[C@@H](CC(=O)NN3)C)cc2)ncnc1NC,sheridan,41,2.136363636,3.1362,4.2231,8,0.8325055267126726,20.0,Synthesizable
C([C@H](NC([C@@H](NC([C@H](Cc1ccccc1)NS(N(C)C)(=O)=O)=O)CC=C)=O)[C@H](CC(NC[C@@H](CC)C)=O)O)C1CCCCC1,sheridan,100,4.1111111110000005,4.1604,4.4411,8,0.8802354336971396,141.0,Synthesizable
n1(c2ccccc2)c(n([nH]c1=O)C(C)=O)=O,sheridan,34,1.9302325580000002,2.4378,2.5140000000000002,1,0.9995124340057372,5.0,Synthesizable
N([C@@H](\C=C\CCC(O)=O)C(O)=O)C([C@H](C)N)=O,sheridan,44,2.23255814,3.4412,3.5601,11,0.0,-1.0,Unsynthesizable
c12c(c3c(ccc(c3[nH]2)OCC(F)(F)F)C)CCO[C@]1(CC(O)=O)CC,sheridan,53,3.452380952,3.4943,3.963,5,0.7630981560643131,82.0,Synthesizable
c12[C@@](OCCc1c1ccc(c(c1[nH]2)O[C@@H](C(F)(F)F)C)Cl)(CC(O)=O)CC,sheridan,63,3.311111111,3.9146,4.14,11,0.0,-1.0,Unsynthesizable
c12c(NC[C@@H](C1)CCc1cc(c(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)Cl)nc(N)nc2O,sheridan,71,2.904761905,3.5807,4.9423,10,0.6855092080514676,109.0,Synthesizable
n1([C@H]2[C@@H]3C[N@](C)[C@H](C2)CC3)c(c2c(cc(N)c(c2)Cl)nn1)=O,sheridan,62,3.222222222,4.5161,4.3916,11,0.0,-1.0,Unsynthesizable
C12[C@]3(CN(CC1)CC2)C[S@@]([C@@H](O3)C)=O,sheridan,41,3.5,5.8738,2.9115,11,0.0,-1.0,Unsynthesizable
n1([C@@H]2C[C@@H]([C@H]2O)CO)cnc2c1ncnc2N,sheridan,41,3.277777778,3.6029,4.0574,11,0.0,-1.0,Unsynthesizable
c1([C@@H](CN2CCC(COCc3ccccc3)CC2)O)ccc(F)cc1,sheridan,44,1.974358974,2.4105,2.8623,3,0.996139427412332,21.0,Synthesizable
C=12[C@@H]3[C@@H](CC[C@@H]3NC(N2)=N)C[C@@H](C1CCCC)C,sheridan,52,3.6756756760000004,4.7817,4.3693,11,0.0,-1.0,Unsynthesizable
c12c(c3ccccc3[nH]2)nc2ccccc2c1Nc1c(cc(NS(C)(=O)=O)cc1)OC,sheridan,56,2.945945946,2.3863,4.4577,7,0.9929372493753048,6.0,Synthesizable
c12c3c(N4[C@@H](CCC4)CO3)c(F)cc2c(=O)c(cn1C1CC1)C(O)=O,sheridan,54,3.468085106,3.1867,4.119,2,0.8377216672482817,24.0,Synthesizable
c1(C2=C[C@@H](CNC2)C)nc(no1)N(C)C,sheridan,33,1.9166666669999999,3.945,3.8962,11,0.0,-1.0,Unsynthesizable
c12c(nc([nH]1)[S@@](Cc1c(c(ncn1)OCC)C)=O)csc2,sheridan,45,2.325581395,3.6065,4.1739999999999995,5,0.984341085336001,143.0,Synthesizable
c12[C@@H](c3ccccc3)C[N@@](C)CCc1c(Br)c(s2)CO,sheridan,44,2.575,3.2484,3.5358,11,0.0,-1.0,Unsynthesizable
c1([C@@]2(C(CCCCC2)=O)C(NC)=S)cccnc1,sheridan,36,2.170731707,3.2941,3.0893,11,0.0,-1.0,Unsynthesizable
